familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋X2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋Y1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,柱頭のX軸方向の幅の辺に沿って並ぶ主筋の本数
SSC標準 RC角柱 2,C1,5944743,柱頭主筋Y1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋Y2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋Y2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋太径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,柱頭の主筋の径
SSC標準 RC角柱 2,C1,5944743,柱頭主筋太径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋細径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋細径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭幅止め筋ピッチ,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭幅止め筋径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭幅止め筋種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭断面形状,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭断面形状x,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭断面形状y,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋X太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋X方向かぶり厚,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋X細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋Y太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋Y方向かぶり厚,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋Y細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋太径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋太径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋細径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭芯鉄筋細径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭鉄骨材種,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭鉄骨材種x,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭鉄骨材種y,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,構造マテリアル,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,符号,String,autodesk.spec:spec.string-2.0.0,FALSE,C1,C1,
SSC標準 RC角柱 2,C1,5944743,製造元,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,説明,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,鉄骨材種,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,階1,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,階2,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
